,"#;""اسم المؤسسة"";""المحلية"";""القطاع"";""نوع المؤسسة"";""العنوان"";""الهاتف"";""ملاحظات"""
109,"110;""مستشفى الفؤاد"";""الخرطوم"";""خاص"";""مستشفى"";""الصحافة شارع السوق المركزى المربع الذهبى"";""0"";""-----"""
110,"111;""مجمع عيادات ناصر الطبى"";""الخرطوم"";""خاص"";""مركز"";""امتداد ناصر مساء"";""0"";""-----"""
111,"112;""مجمع بروف /فاطمة عبدالمحمود"";""الخرطوم"";""خاص"";""مركز"";""الصحافة زلط جنوب محطةسبعة"";""0"";""----"""
112,"113;""مستوصف نوباتيا"";""الخرطوم"";""خاص"";""مركز"";""ابوادم تقاطع شارع جبل أولياء مع شارع مايو"";""0"";""----"""
113,"114;""مستوصف الهدى"";""الخرطوم"";""خاص"";""مركز"";""جبرة مربع 11شارع الشهيد طه الماحى"";""0"";""----"""
114,"115;""المركز العلاجى للأطفال"";""الخرطوم"";""خاص"";""مركز"";""شارع الصحافة زلط جنوب محطة الغالى"";""0"";""----"""
115,"116;""مستشفى الدوحة التخصصى ENT"";""الخرطوم"";""خاص"";""مستشفى"";""شارع محمد نجيب شرق جهاز المغتربين"";""0"";""---"""
116,"117;""المستشفى الجنوبى الخاص"";""الخرطوم"";""خاص"";""مستشفى"";""جنوب مستشفى الشعب الخرطوم"";""0"";""----"""
117,"118;""مركز صحى الرحمة"";""الخرطوم"";""خاص"";""مركز"";""العشرة محطة العمودين محطة 8"";""0"";""----"""
118,"119;""مجمع رزان التخصصى"";""الخرطوم"";""خاص"";""مركز"";""شارع الصحافة زلط / حى النزهة"";""0"";""-----"""
119,"120;""مستوصف المنورة التخصصى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة المنورة جوار مجمع المحاكم"";""0"";""-----"""
120,"121;""مستوصف المدينة التخصصى"";""الخرطوم"";""خاص"";""مركز"";""شارع الهندى جوار الطيران المدنى"";""0"";""----"""
121,"122;""مستشفى الصفا التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""الطائف مربع22 شرق سكر كنانة"";""0"";""-----"""
122,"123;""مستشفى جياد"";""الخرطوم"";""خاص"";""مستشفى"";""مدينة جياد الصناعية"";""0"";""----"""
123,"124;""مستشفى شوامخ"";""الخرطوم"";""خاص"";""مستشفى"";""العمارات شارع 25 مستشفى ابن خلدون سايقاً"";""0"";""-------"""
124,"125;""مستشفى سارة وغنيمة"";""الخرطوم"";""خاص"";""مستشفى"";""الأمتداد شرق مركز صحى سمير"";""0"";""-------------"""
125,"126;""مجمع حراء الطبى التخصصى"";""الخرطوم"";""خاص"";""مركز"";""المقرن جوار اتحاد طلاب جامعة السودان"";""912351782"";""----"""
126,"127;""مستشفى حراء التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""العمارات شارع5 غرب بنك الثروة الحيوانية"";""912809292"";""---"""
127,"128;""مركز الفرقان لأمراض الكلى"";""الخرطوم"";""خاص"";""مركز"";""العمارات شارع 55"";""0"";""---"""
128,"129;""المركز القومى للعلاج بالأشعة"";""الخرطوم"";""خاص"";""مركز"";""شارع القصر مستشفى الذرة"";""0"";""---"""
129,"130;""مركز الطاهرة الطبى"";""الخرطوم"";""خاص"";""مركز"";""ابوادم مربع 10 شاعر شرق"";""0"";""----"""
130,"131;""مركز زمزم الطبى التخصصى"";""الخرطوم"";""خاص"";""مركز"";""جبل أولياء السوق شرق مسجد العبادى"";""914414368"";""----"""
131,"132;""مستوصف البوشى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة اللفة شارع المستشفى التركى"";""121977502"";""----"""
132,"133;""مستشفى المودة التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""شمال شرق كمبونى شارع 21 أكتوبر"";""0"";""----"""
133,"134;""مستشفى الحكمة"";""الخرطوم"";""خاص"";""مستشفى"";""العمارات شارع 3"";""0"";""----"""
134,"135;""مركز نعمة الطبى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة شرق أخر محطة"";""915528498"";""----"""
135,"136;""مجمع الأزهرى الطبى"";""الخرطوم"";""خاص"";""مركز"";""الأزهرى مربع 28"";""0"";""----"""
136,"137;""مركز جادان الطبى"";""الخرطوم"";""خاص"";""مركز"";""الامتداد"";""0"";""-----"""
137,"138;""مستوصف الجعفرى ونورى"";""الخرطوم"";""خاص"";""مركز"";""الكلاكلة"";""0"";""----"""
138,"139;""مركز الريان لجراحة المناظير"";""الخرطوم"";""خاص"";""مركز"";""عيادة د.عشميق شارع المك نمر"";""0"";""----"""
139,"140;""مركز الريان الطبى الحديث"";""الخرطوم"";""خاص"";""مركز"";""تقاطع شارع الستين مع الشرقى"";""912303699"";""----"""
140,"141;""مستشفى مكة للعيون"";""الخرطوم"";""خاص"";""مستشفى"";""شارع الرياض بالنص شرق عبيد ختم"";""0"";""---"""
141,"142;""مجمع الفردوس المتكامل الطبى"";""الخرطوم"";""خاص"";""مركز"";""الفردوس شمال مربع 58"";""0"";""-----"""
142,"143;""مركز السودان للعيون"";""الخرطوم"";""خاص"";""مركز"";""العمارات شارع 41"";""0"";""---"""
143,"144;""المركز الطبى الحديث"";""الخرطوم"";""خاص"";""مركز"";""شارع افريقيا عقار رقم 71"";""183471683"";""----"""
144,"145;""مركز زمزم"";""الخرطوم"";""خاص"";""مركز"";""العمارات شارع 1 مقابل النادى الألمانى"";""0"";""-----"""
145,"146;""مركز يثرب الطبى"";""الخرطوم"";""خاص"";""مركز"";""الشجرة"";""0"";""----"""
146,"147;""مستشفى نور العيون"";""الخرطوم"";""خاص"";""مستشفى"";""اركويت شارع البلابل شرق مبنى كنار"";""0"";""-----------"""
147,"148;""مركز السودان للقلب"";""الخرطوم"";""خاص"";""مركز"";""اركويت شارع البلابل شرق مبنى كنار"";""0"";""--------"""
148,"149;""مستشفى الأمل التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""شارع الستين جنوب مدرسة الخرطوم القديمة"";""0"";""---------"""
149,"150;""مستشفى مهيرة"";""الخرطوم"";""خاص"";""مستشفى"";""الرياض شمال المشتل شمال شامل هاوس"";""0"";""لاتوجد"""
150,"151;""مستشفى الشيخ التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""اركويت نهاية شارع عبيد ختم"";""0"";""----------"""
151,"152;""مستشفى ابن خلدون"";""الخرطوم"";""خاص"";""مستشفى"";""الخرطوم 2 شمال حديقة اشراقة التجانى يوسف بشير"";""183471748"";""-"""
152,"153;""مستشفى يستبشرون"";""الخرطوم"";""خاص"";""مستشفى"";""الرياض جوار اكاديميةالعلوم الطبية"";""183237804"";""-"""
153,"154;""مستشفى الأطباء"";""الخرطوم"";""خاص"";""مستشفى"";""شارع المطار"";""0"";""------"""
154,"155;""مستشفى الفيصل التخصصى"";""الخرطوم"";""خاص"";""مستشفى"";""شارع المستشفى مقابل صيدلية شيكان"";""0"";""-"""
155,"156;""مستشفى ساهرون"";""الخرطوم"";""خاص"";""مستشفى"";""برى جوار كلية الرباط"";""0"";""-"""
156,"157;""السر على سعيد"";""الخرطوم"";""خاص"";""معمل"";""مستشفى ساهرون"";""0"";""لاتوجد"""
157,"158;""معمل بيشوى عزت بريص"";""الخرطوم"";""خاص"";""معمل"";""شرق السفارة الامريكية القديمة"";""0"";""لاتوجد"""
158,"159;""مركز رويال اسكان"";""الخرطوم"";""خاص"";""معمل"";""شارع الحوادث شرق مستشفى فضيل"";""0"";""لاتوجد"""
159,"160;""معمل كامل محمد حسن"";""الخرطوم"";""خاص"";""معمل"";""شمال ملاعب كمبونى غرب صيدلية عزة"";""912365203"";""لاتوجد"""
160,"161;""معمل كوالتى لاب"";""الخرطوم"";""خاص"";""معمل"";""شارع المستشفى عيادة ابارو"";""0"";""لاتوجد"""
161,"162;""معمل ياسر عبدالرحمن"";""الخرطوم"";""خاص"";""معمل"";""مجمع القرشى"";""0"";""لاتوجد"""
162,"163;""مركز الريات التخصصى"";""الخرطوم"";""خاص"";""معمل"";""شرق م.الفيصل بالة صيدلية شوامخ"";""0"";""عام+مناعة"""
163,"164;""معمل مجمع المعلم الطبى"";""الخرطوم"";""خاص"";""معمل"";""الخرطوم3 غرب حديقة القرشى"";""0"";""عام + هرمونات +أنسجة"""
164,"165;""احمد محمد زين (مجمع زين الطبى)"";""الخرطوم"";""خاص"";""معمل"";""تقاطع شارع السيد عبدالرحمن مع شارع القصر"";""0"";""لايوجد"""
165,"166;""معمل مجمع عيادات الحكمة"";""الخرطوم"";""خاص"";""معمل"";""شارع السيد عبدالرحمن شرق ملاعب كمبونى"";""0"";""لا"""
166,"167;""مركز السودان للتشخيص"";""الخرطوم"";""خاص"";""معمل"";""شارع الحوادث"";""0"";""معمل + أشعة"""
167,"168;""معمل عيادة د.حمزة"";""الخرطوم"";""خاص"";""معمل"";""شارع الحوادث تقاطع كونت مخلص"";""0"";""لا"""
168,"169;""معمل مجمع سبعة الطبى (سيف)"";""الخرطوم"";""خاص"";""معمل"";""امتداد الدرجة التالتة محطة سبعة"";""0"";""لا"""
169,"170;""النعمة للتحاليل الطبية"";""الخرطوم"";""خاص"";""معمل"";""مجمع حيدر الصديق النعمة"";""0"";""لا"""
170,"171;""المختبرات الإردنية الطبية"";""الخرطوم"";""خاص"";""معمل"";""شارع الحوادث مقابل فضيل"";""0"";""معمل متكامل"""
171,"172;""معمل الترا لاب"";""الخرطوم"";""خاص"";""معمل"";""تقاطع شارع الحوادث مع المك نمر+الكلاكلة اللفة"";""0"";""عام"""
172,"173;""مختبر التحاليل الطبية"";""الخرطوم"";""خاص"";""معمل"";""شارع الحوادث جوار مركز فضيل"";""0"";""عام"""
173,"174;""معمل مركز جادان الطبى"";""الخرطوم"";""خاص"";""معمل"";""شارع محمد نجيب تقاطع شارع 41"";""0"";""عام"""
174,"175;""معمل انتصار ابراهيم عبدالباسط"";""الخرطوم"";""خاص"";""معمل"";""مجمع العالم شارع القصر"";""0"";""عام"""
175,"176;""معمل عيادة د.حامد العبيد"";""الخرطوم"";""خاص"";""معمل"";""امتداد ناصر جنوب صيدلية الرياض"";""0"";""عام"""
176,"177;""معمل مجمع السجانة الطبى"";""الخرطوم"";""خاص"";""معمل"";""الديوم الشرقية محطة حجازى"";""0"";""عام"""
177,"178;""معمل الرضوان للتحاليل الطبية"";""الخرطوم"";""خاص"";""معمل"";""شارع السيد عبدالرحمن مجمع حيدر الصديق النعمة"";""0"";""عام"""
